Nume,Latime trama stradala,Latime carosabil,Latime trotuar 1,Latime trotuar 2,Latime parcare 1,Latime parcare 2,Zona libera trotuar 1,Zona libera trotuar 2,Latime pista biciclete 1,Latime pista biciclete 2,Zona verde 1,Zona verde 2
Aleea Calaretilor,9,7,1.7,,,2.4,,0.7,2.2,,,
Alexandru Vlahuta,13,9,1.8,2.1,,,,,,,,
Anghel Saligny,10,6,2,1.9,,,1,0.8,,,,
Anton Pann,10,6,2.2,2,,,,,,,,
Argesului,14,9,2.7,2.6,,,,,,,,
Aron Pumnul,10,6,2.1,2,,,,,,,,
Aurel Vlaicu,10,5,2.6,2.4,,,1.2,1.4,,,,
Bahluiului,10,7,1.3,1.5,1.8,5.4,,,,,1.8,5.4
Calea Dumbravii,0,,,,,,,,2.5,2.5,,
Ciprian Porumbescu,11,7,1.6,2.4,,,0.9,0.9,,,2.8,
Closca,10,7,1.6,1.9,,,0.5,1,,,,
Costache Negri,10,6,1.6,1.9,,,,,,,,
Dimitri Cocea,0,,,,,,,,,,,
Dimitrie Anghel,10,7,1.7,1.55,,,,,,,,
Dinicu Golescu,9,6,1.6,1.7,,,,,,,,
Doctor Barcianu,15,9,3,3.1,,,1.4,1,,,1.6,1.5
General Mosoiu,8,5,1.1,1.4,,,0.2,0.2,,,,
George Bacovia,8,6,1.2,1.4,,,,,,,,
Gheorghe Dima,14,7,3.5,3,,2.5,1.1,,,,,
Grigore Alexandrescu,10,6,1.8,2.3,,,0.6,1.1,,,,
Grigore Ureche,9,6,1.5,1.8,,,1,0.8,,,,
Horia,10,6,2,1.8,,,1,1,,,,
Ilarie Chendi,10,6,1.6,2,,,0.9,1.3,,,,
Ioan Catina,7,5,1.5,1,,,0.5,0.5,,,,
Ioan Slavici,9,6,1.6,1.6,,,0.8,0.9,,,,
J.W. Goethe,9,6,1.2,1.4,,,,,,,,
Lamaitei,10,6,1.8,1.8,,,1.8,0.7,,,,
Marius Sturza,8,5,1,1.6,,,0.5,0.5,,,,
Matei Millo,12,9,1.6,1.6,,,,,,,1.3,1.5
MIhail Sebastian,11,7,2.1,1.8,,,,,,,1.9,2.2
Miron Costin,10,6,2.1,2.2,,,1.1,1.2,,,,
Nicolae Filimon,0,,,,,,,,,,,
Octavian Goga 1,11,7,1.5,1.8,0.7,,,,,,,
Octavian Goga 2,13,9,2.2,1.9,,,,,,,,
Octavian Goga 3,11,7,2.1,1.7,,0.5,,,,,,
Panait Cerna,10,7,1.5,1.8,4.8,,,,,,4,
Piata Crisan,10,6,1.6,2.2,,,,,,,,
Piata Prahovei 1,7,4,1.2,1.4,,2.1,,,,,,
Piata Prahovei 2,7,4,1.4,1.3,2.5,1.4,,,,,1.4,
Privighetorii,9,7,1.9,,,,,,,,,
Profesor Victor Lazar,13,7,3,3.7,2.5,,,1.7,,,,
Putnei,10,7,1.5,1.6,2.5,,0.6,0.6,,,,
Titu Maiorescu,0,,,,,,,,,,,
Vasile Alecsandri 1,9,6,1.3,1.4,,,,,,,,
Vasile Alecsandri 2,9,6,1.8,1.3,,,0.8,0.7,,,,
