Nume,Latime trama stradala,Latime carosabil,Latime trotuar 1,Latime trotuar 2,Latime parcare 1,Latime parcare 2,Zona libera trotuar 1,Zona libera trotuar 2,Latime pista biciclete 1,Latime pista biciclete 2,Zona verde 1,Zona verde 2,Zona verde intre benzi,Cartier
Aleea Artileristilor,9.65,5.6,2.1,1.95,,,,5.1,,,,2.5,,hipodrom1
Aleea Biruintei,,9.1,1.8,1.9,,,0.8,,,,,,,hipodrom2
Aleea Calarasilor,8,4.5,1.55,1.95,,,,,,,,10,,hipodrom1
Aleea Haiducului,,8.4,1.4,1.4,,,,,,,,,,hipodrom2
Aleea Infanteristilor,8,4.1,1.95,1.95,5.2,5.1,,,,,4.9,4.9,,hipodrom1
Aleea Luptei,11,6.15,2.9,1.95,5,4.8,,,,,6.2,7,,hipodrom1
Aleea Rosiorilor,7.5,4.3,1.7,1.5,2,5,,,,,,,,hipodrom1
Aleea Selimbar,7,5.8,,1.2,4.8,5,,,,,10,10,,hipodrom1
Aleea Turnu Rosu,,6.6,1.4,1.4,,,0.5,,,,1,,,hipodrom2
Alexandru Ioan Cuza,,5.8,2,1.6,,,1,0.7,,,,,,hipodrom2
Andrei Muresanu,,5.6,2.7,2.4,,,,,,,,,,hipodrom2
Bulevardul Mihai Viteazul,13.5,10,1.5,2,5.2,5,,,0.9,1,3.3,8,5.2,hipodrom1
Calea Dumbravii 1,,11.6,1.2,,,,,,,,,,,hipodrom2
Calea Dumbravii 2,,7.1,1.4,1.2,,,,,,,1.2,1,,hipodrom2
Calugareni,,5.8,2,2.2,,,1.2,1,,,,,,hipodrom2
Cernei,9.97,6,2,1.97,,,,,,,,,,hipodrom1
Cernei,,6.1,1.8,1.8,,,1,1,,,,,,hipodrom2
Culturii (nu exista OSM),,9,1.3,1.4,,,,,,,,,,hipodrom2
Dorului,,6.2,1.3,1.4,0.5,0.5,,,,,,,,hipodrom2
Eroilor,,5.6,2.1,1.8,,,1,1,,,,,,hipodrom2
Genistilor,9.1,6,1.55,1.55,,,,,,,4.3,6.1,,hipodrom1
Goraslau,,12,2,1.5,,,,0.5,,,,1.7,,hipodrom2
Hipodromului,,16.5,1.4,1.7,,,,,,,,,,hipodrom2
Luptei,12.75,6.15,3,3.6,,5,,,,,,,,hipodrom1
Miraslau 1,,5.6,2.4,1.7,,,1,1,,,,,,hipodrom2
Miraslau 2,,12,1.3,1.8,,,,,,,,,,hipodrom2
Nicolae Iorga,12.6,7.5,2.5,2.6,2.6,4,,,1,1,10,10,,hipodrom1
Oituz 1,,6,1.3,1.6,,,,,1,,,,,hipodrom2
Oituz 2,,11.7,2.1,2.2,,,,,0.8,0.8,4.7,,,hipodrom2
Porumbacului,10.25,5.5,2.65,2.1,,,,,,,,,,hipodrom1
Rahovei 1,13.4,9,2.5,1.9,2.1,5.2,,,1,1,1.6,,,hipodrom1
Rahovei 2,13.95,6.15,2.9,4.9,2.55,,,,,,8,6,,hipodrom1
