Nume,Latime trama stradala,Latime carosabil,Latime trotuar 1,Latime trotuar 2,Latime parcare 1,Latime parcare 2,Zona libera trotuar 1,Zona libera trotuar 2,Latime pista biciclete 1,Latime pista biciclete 2,Zona verde 1,Zona verde 2
Abrud,11.8,7.1,2,2.7,,,1.1,1.2,,,,
Albert Einstein,0,,,,,,,,,,,
Albinelor,0,,,,,,,,,,,
Alecu Russo,13.6,5.6,2,2.4,,,1,0.9,,,0.9,0.9
Ana Ipatescu,10.4,6,2.6,1.8,,,1.5,1.15,,,,
Anatole France,11.8,6,1.5,2.1,,,0.7,0.7,,,0.5,0.6
Anul 1907,6.25,4.5,0.75,1,,,,,,,,
Arcului,10.45,5.4,1.2,1.75,2.1,,,,,,,
Auguste Treboniu Laurian,17.5,8.7,2.1,2.3,,,,,,,1,1.2
Baicoi,8.6,5.6,1.4,1.6,,,0.5,0.3,,,,
Balantei,7.8,5,1.5,1.3,,,0.7,,,,,
Calea Gusteritei,19.7,10.8,1.85,2.7,2.35,,,1,1,1,,
Cezar Boliac,12.4,6.2,2.4,2,,,1.1,1.2,,,0.9,
Ciocanului,0,,,,,,,,,,,
Cometei,0,,,,,,,,,,,
Corneliu Diaconovici,9.7,6.1,1.8,1.8,,,0.8,0.5,,,,
Cosmos,0,,,,,,,,,,,
Cupolei,0,,,,,,,,,,,
Dinamului,0,,,,,,,,,,,
Dorobantilor,8.6,5,1.6,2,,,,1.4,,,,
Ecaterina Varga,9.7,6,2,1.7,,,1,0.6,,,,
Egalitatii,9.9,6.1,2.3,1.5,,,1.3,0.6,,,,
Emile Zola,10.2,6,2,2.2,,,1,1,,,,
Forjorilor,9.8,6.5,1.7,1.6,,,0,0.4,,,,
Frezorilor,16.9,7,0.8,2.1,,,,,,,1.1,2.4
Galaxiei,0,,,,,,,,,,,
Garii,17.2,6.1,3.3,0,,,1.1,,,,,3.9
Heinrich Heine,10,6.1,2.2,1.7,,,1,0.6,,,,
Henri Coanda,22.3,7.2,3.2,0,9.3,,1.5,,,,1.3,
Icob Bologa ,24.2,7,1.1,1.2,2.3,4.8,,,,,1.5,2.4
Ivan Sergheievici Turghenev,9.6,5.9,1.9,1.8,,,0.9,0.6,,,,
Johan Sebastian Bach,,,,,,,,,,,,
Lacatusilor,2.9,2.9,,,,,,,,,,
Lamark,9.4,6,1.9,1.5,,,0.9,0.9,,,,
Laminorului,9.6,6.5,1.4,1.7,,,0.5,1.2,,,,
Lazaret,16.6,7.5,2.2,2.1,,3,,,,,0.9,
Lebedei 1,5.4,3,1.2,1.2,,,0.2,,,,,
Lebedei 2,,6,1.9,1.7,,,0.6,1,,,,
Libertatii,5.2,3,1.1,1.1,,,,,,,,
Luceafarului,3.9,1.9,2,,,,0.8,1.6,,,,
Macaralei,11,6.6,1.9,1.5,,,,,1,,,
Masinistilor,14.5,6,1.6,1.9,,,0,1.1,,,1.5,1
Muncii,8.3,5.1,1.6,1.6,,,0.7,,,,,
Nicovalei,9.8,5.5,2.2,2.1,,,1.2,,,,,
Otelarilor,15.6,6.9,1.6,1.4,2.1,,,,,,1.8,
Ovidiu,8.7,3.6,0.9,2.2,,,,,,,,1
Petru Poni,9.8,6.1,2,1.7,,,0.9,0.9,,,,
Plevnei,9.4,5.6,1.8,2,,,1.1,0.8,,,,
Primaverii,3,3,,,,,,,,,,
Principatele Unite,15.4,6.4,2.1,1.9,2.5,2.5,,,,,,
Prometeu,0,,,,,,,,,,,
Rachetei,0,,,,,,,,,,,
Rulmentului,17.4,6.1,2,2,,2.5,,,,,2.4,
Serpuita,8.6,5.9,1.5,1.2,,,,,,,,
Solidaritatii,13,7,3.1,1.4,,,,,,,0.75,
Stelei,0,,,,,,,,,,,
Strungului,17.2,6.6,3.2,1.8,,,1.5,,,1,2.3,
Toamnei,9.6,6,1.9,1.7,,,1,1,,,,
Tohan ,7.4,4.5,1.6,1.3,,,0.1,,,,,
Topitorilor,10.6,7,1.9,1.7,,,1,1.1,,,,
Vulcan,11.2,7.2,2,2,,,1.3,,,,,
Wolfgang Amadeus Mozart,6,3,,,3,,,,,,,
