Nume,Latime trama stradala,Latime carosabil,Latime trotuar 1,Latime trotuar 2,Latime parcare 1,Latime parcare 2,Zona libera trotuar 1,Zona libera trotuar 2,Latime pista biciclete 1,Latime pista biciclete 2,Zona verde 1,Zona verde 2
Anina,9.8,6.1,2,1.7,,,0.8,,,,,
Armoniei,7.9,5.4,1.3,1.2,,,,,,,,
August Traboniu Laurian,0,,,,,,,,,,,
Calan,0,,,,,,,,,,,
Ciorcarliei,11.2,6.1,2.6,2.5,,,1.1,1.6,,,,
Crinilor,7.8,5.2,1.3,1.3,,,,,,,,
Crisului,9.8,6.1,2.1,1.6,,,1.1,1.5,,,,
Cugir,7.6,5.4,1.1,1.1,,,,,,,,
Decebal,9.8,7,1.2,1.6,,,,,,,,
Egalitatii 1,9.7,6.1,1.5,2.1,,,0.8,0.7,,,,
Fundatura Lupeni,0,,,,,,,,,,,
Gheorghe Doja,0,,,,,,,,,,,
Heinrich Heine,9.2,6,1.5,1.7,,,0.9,0.8,,,,
Ion Popovici-Banateanu,9.5,6,2.1,1.4,,,,0.6,,,,
Iuliu Maniu 1,0,,,,,,,,,,,
Lupeni,10.9,6.1,3.1,1.7,2,1.2,,,,,,
Moara de Scoarta,9.7,5.7,1.9,2.1,,,,,,,,
Moreni,10.1,6,1.9,2.2,,,1.2,1.1,,,,
Muresului,9.2,6.2,1.5,1.5,,,0.5,0.8,,,,
Octavian Smighelschi,7.5,5.3,1,1.2,,,,,,,,
Oltului,8,5.4,1.2,1.4,,,,,,,,
Petrila,10,6,1.9,2.1,,,0.8,1,,,,
Prumbeilor,0,,,,,,,,,,,
Randunelelor,9.8,6.1,2,1.7,,,1.2,0.9,,,,
Resita,9.8,6.2,2,1.6,,,1,1.1,,,,
Sandu Aldea,0,,,,,,,,,,,
Serpuita,0,,,,,,,,,,,
Teilor,10.9,7,1.5,1.4,,,,,,,0.3,0.7
Teliuc,5.7,3.6,1.2,0.9,,,,,,,,
Vanatorilor,0,,,,,,,,,,,
Viitorului 1,10.5,8.4,2.1,,,,,,,,,
Vulcan,12.3,8.1,2.1,2.1,,,,,,,,
Zorilor,7.7,5.5,1.2,1,,,0.7,0.2,,,,
