Nume,Latime trama stradala,Latime carosabil,Latime trotuar 1,Latime trotuar 2,Latime parcare 1,Latime parcare 2,Zona libera trotuar 1,Zona libera trotuar 2,Latime pista biciclete 1,Latime pista biciclete 2,Zona verde 1,Zona verde 2
Barsei,7.2,3.8,1.57,1.83,2.58,5.1,,,,,1.45,
Caras Severin,6.7,4.05,1.25,1.4,,,,,,,0.88,
Dimitrie Cantemir,13,7.2,2.3,3.5,,,1.1,1.2,,,,
Ilfovului,8.7,6.3,1.2,1.2,4.1,4.1,,,,,,
Dimitrie Cantemir,11.6,6.8,2.3,2.5,,,1,1.1,,,,
Ioan Albabei,11.95,7.1,2.3,2.55,,,1.6,1.5,,,,
Mehedinti,9.65,6.1,1.6,1.95,,510,,,,,,10
Nicolae Beldiceanu,8.5,6.1,1,1.4,,,,,,,1.4,1.6
Poet Aron Cotrus,6.06,3.5,1.4,1.16,,,,,,,,
Profesor Cornel Irimie,9,6.2,1.4,1.4,,,,,,,,
Profesor Aurel Decei,8.8,6.3,1.3,1.2,4.8,4.8,,,,,1.3,
Profesor Aurel Popa,10,6.3,1.9,1.8,4.7,3.8,,,2.1,,8.2,
Profesor Ioan Moga,7.7,4.2,1.7,1.8,3.8,4.7,,,,,,
Sacel,10.05,6.1,2.15,1.8,,,1.15,1.1,,,,
Teleorman,7.1,4.1,1.5,1.5,5,2.3,,,,,1.7,3.5
Timisului,9.55,5.6,1.95,2,5,5.2,,,,,2.3,7.1
