Nume,Latime trama stradala,Latime carosabil,Latime trotuar 1,Latime trotuar 2,Latime parcare 1,Latime parcare 2,Zona libera trotuar 1,Zona libera trotuar 2,Latime pista biciclete 1,Latime pista biciclete 2,Zona verde 1,Zona verde 2
Aleea Petuniei,,,,,,,,,,,,
Arad,,"5,5",2,2,,,0.7,0.9,,,,
Autogarii,,,,,,,,,,,,
Berzelor,7.9,5,1.5,1.4,,,0.6,0.4,,,,
Bujorului (nu exista OSM),7.9,5.6,1.3,1,,,0.4,0.8,,,,
Calea Surii Mari,,,,,,,,,,,,
Calea Turnisorului,13.2,5.2,2.3,1.9,2,,0.8,0.9,,,0.9,
Cameliei,18.2,3.5,2.4,2,2.5,,,,1.4,1.4,1,1.5
Campului,7,1.2,1,,,,,,,,,
Campului 2,7.3,1.8,1.7,,,,,,,,1.7,1.4
Caprioarelor,9.3,6.4,1.4,1.5,,,0.7,,,,,
Carpatilor,8.7,5.6,1.4,1.7,,,0.9,0.8,,,,
Castorului,9.1,6,1.6,1.5,,,,,,,,
Cerbului,7.6,5.9,1.7,,,,,,,,,
Constantin I. Nottara,15.2,4,1.4,1.4,2.5,2.5,,,,,0.8,0.9
Crizantemelor,6.9,4.6,1.1,1.2,,,,0.8,,,,
Daliei,12.6,6.4,2,1.6,,,,,,,1.3,
Democratiei,12,7.5,2.1,2.4,,,0.8,,,,,
Deva,10,5.5,2,2.5,,,0.8,,,,,
Distributiei,11.6,7.1,3.3,1.2,,,,,,,,
Drumul Ocnei,9.5,6,1.7,1.8,,,,,,,,
Doctor Dumitru Bagdazar,9.9,6.1,2,1.8,,,,,,,,
Ecaterina Teodoroiu,13.3,6.1,1.8,2,,,,,,,1,0.7
Eschile,8.1,5.3,1.1,1.7,,,,0.8,,,,
Florilor,9.5,5.7,1.9,1.9,,,1.2,0.8,,,,
Fragilor,10.2,6.1,1.7,1.4,,,,0.8,,,0.5,
Garoafei,8.7,6,1.4,1.3,,,0.8,0.7,,,,
General Grigore Balan,7.7,4.4,1.6,1.7,,,0,0,,,,
Gheorghe Sincai,9.7,6,1.7,2,,,0.5,1.3,,,,
Gladiolelor,30.7,9,2.3,2.3,,,,,1,1.1,7.5,
Gradinarilor,7.9,6,1,0.9,,,0.5,0.3,,,,
Gutuilor,10.2,6.1,1.6,1.7,,,,0.5,,,0.4,
Honterus,9.7,6,1.8,1.9,,,0.9,1,,,,
Infratirii,11.4,7.1,2.3,2,,,,,,,,
Ion Pop Reteganu,5.9,3.5,1.2,1.2,,,,0.3,,,,
Kiev,14.8,11,1.7,2.1,,,,,,,,
Lacramioarelor,6.5,4.4,1,1.1,,,,0.3,,,,
Laptariei,10.8,6.3,2.2,2.3,,,1.1,1.1,,,,
Lemnelor,10.6,6,2,2.6,,,0.8,1.4,,,,
Lunga,25.28,13.7,3.9,1.9,2.3,2.08,,,0.7,0.7,,
Magheranului,21.8,11.4,1.6,1.8,2.5,2.5,,,1,1,,
Margaretelor,10.8,6.1,2.8,1.9,,,1.7,1.5,,,,
Mihail Kogalniceanu,24.8,7,2.4,2.7,4.5,,,,,,1.9,2.2
Narciselor,5.5,3,1.3,1.2,,,,0.4,,,,
Nucului,11.2,7,1.5,1.7,,,1.2,,,,0.2,0.3
Odessa,10.8,6,2.4,2.4,,,1,1.1,,,,
Paltinis,7.4,5,1.1,1.3,,,0.8,0.8,,,,
Pandurilor,6.6,4.1,1.2,1.3,,,,0.4,,,,
Paris,20.9,9.4,2.3,2.4,,,,,,,1.6,1.8
Parului,9.9,6,1.7,1.7,,,,0.5,,,0.25,
Patriotilor,11,6.5,2.4,2.1,,,,0.9,,,,
Pedagogilor,13,8,2.4,2.6,,,1.5,1.5,,,,
Petru Maior,9.5,6,1.9,1.6,,,1,1.3,,,,
Popa Sapca,10.3,7.1,2.1,1.1,,,,,,,,
Praga,10.8,6,2.6,2.2,,,1.5,1.2,,,,
Progresului,10.8,6,2.6,2.2,,,1.5,1.4,,,,
Prunelor,10.4,6,1.8,1.8,,,0.8,0.9,,,0.4,
Raului,9,7,2,,,,,,,,,
Reconstructiei,16.2,10,2.7,1.3,,,,,1.1,1.1,,
Rusciorului,16.8,7,1.5,1.5,2.5,2.5,,,0.9,0.9,,
Salciilor,10,6.1,2,1.9,,,1.1,0.9,,,,
Simion Barnutiu,9.9,6,1.9,2,,,1.1,1.1,,,,
Sperantei,6.6,4.1,1.2,1.3,,,0.4,0.2,,,,
Strugurilor,6,1.2,1.4,,,,0.5,,,,,1.8
Targul Cailor,17.1,7.5,3.5,1.2,4.9,,1.8,,,,,
Tiglari,13.1,5.9,2.4,3,,,,,0.9,0.9,,
Timisoara,11,6,2.4,2.6,,,1.3,1.5,,,,
Traian Demetrescu,9,6.1,1.1,1.8,,,0.7,0.8,,,,
Viorelelor,7.7,4.6,1.8,1.3,,,0.8,0.4,,,,
Visinilor,10.1,6,1.7,1.8,,,,0.9,,,0.3,
Oborul de vite,18.4,13.2,2.5,2.7,,,,,,,,
