Nume,Latime trama stradala,Latime carosabil,Latime trotuar 1,Latime trotuar 2,Latime parcare 1,Latime parcare 2,Zona libera trotuar 1,Zona libera trotuar 2,Latime pista biciclete 1,Latime pista biciclete 2,Zona verde 1,Zona verde 2
Axente Sever,8.6,5.6,1.4,1.6,,,0.6,0.8,,,,
Balea,16.5,12,1.9,2.6,,,,,0.9,1,,
Bucegi,10.1,5.7,2.4,2,,,0.9,,,,,
Budislavu,5.4,3.5,1.9,0,,,,,,,,
Caltun,11.9,7.2,2.3,2.4,,,1.3,1.3,,,,
Carbunelui,9.7,6,1.9,1.8,,,1,0.9,,,,
Ceferistilor,11.1,6.9,2.1,2.1,,,,,,,,
Constantin Noica,10.6,7.2,1.9,1.5,,,,,,,1.6,1.4
Constantin (Costache) Negruzzi,13.9,7.5,3.1,3.3,1.3,1.3,,,,,,
Depoului,8.6,6.1,1.2,1.3,,,0.6,0.6,,,,
Diaconul Coressi,10.3,6.2,1.9,2.2,,,0.8,1.6,,,,
Fabricii,0,,,,,,,,,,,
Fochistilor,9.9,6,2,2.2,,,1.1,1.4,,,,
Fratii Grachi,13.7,8.6,2.6,2.5,,,,,,,,
Galileo Galilei,8.1,5.6,1.1,1.4,,,0.5,0.8,,,,
George Enescu,9.9,5.7,2.1,2.1,,,1,1.2,,,,
Gheorghe Titeica,9.3,5.6,1.8,1.9,,,,,,,,
Ghetariei,0,,,,,,,,,,,
Georg Wilhelm Friedrich Hegel,13.9,9,2.3,2.6,0.8,0.8,,,,,,
Independentei,0,,,,,,,,,,,
Ion Creanga,9.7,6.1,1.8,1.8,,,1.2,0.6,,,,
Izvorului,8,6,2,,,,,,,,,
James Watt,9.85,6,1.85,2,,,0.9,0.9,,,,
Lirei,9.7,6,2.2,1.5,,,1.3,0.7,,,,
Locomotivei,9.5,5.7,1.7,2.1,,,0.5,0.8,,,,
Lucian Blaga,10.6,6,2.6,2,,,,,,,,
Magura,9.6,6,1.6,2,,,0.8,0.9,,,,
Moldoveanu 1,10.8,6.9,2.8,1.1,2.2,,,,,,,2.2
Moldoveanu 2,12.3,6.9,2.6,2.8,,2.2,,,,,,
Negoi 1,11.8,5.8,3.3,2.7,2,1.6,,,,,,
Negoi 2,,5.1,2.4,1.9,,,1.1,0,,,,
Nicolae Titulescu,13.7,8.3,2.7,2.7,,,,,,,,
Podragu,9.9,6.1,1.6,2.2,,,,,,,,
Serbota,11.8,7,2.4,2.4,,,1.5,1.7,,,,
Simion Mehedinti,0,0,,,,,,,,,,
Spartacus,13.8,8.5,2.7,2.6,,,,,,,,
Ștefan cel Mare 1,15.4,8.7,3.4,3.3,1.4,1.4,,,0.8,,,
Ștefan cel Mare 2,14.9,10,2.2,2.7,,1.3,,,1,,2.8,
Suru,10.2,5.9,2.4,1.9,,,0.9,1,,,,
Urlea,9.9,6,1.8,2.1,,,1,1.3,,,,
Vartopu,8.8,6,1.4,1.4,,,,,,,1.2,1.2
Victor Hugo,9.4,6,1.6,1.8,,,1,0.9,,,,
