Nume,Latime trama stradala,Latime carosabil,Latime trotuar 1,Latime trotuar 2,Latime parcare 1,Latime parcare 2,Zona libera trotuar 1,Zona libera trotuar 2,Latime pista biciclete 1,Latime pista biciclete 2,Zona verde 1,Zona verde 2
Aciliu,9.8,5.8,1.9,2.1,,,1,1.3,,,,
Agarbiciu,10.5,7.2,1.7,1.6,,,,,,,,
Amnas,9.9,6.5,1.6,1.8,,,0.6,0.6,,,,
Badea Cartan,9.8,6.4,1.8,1.6,,,0.9,,,,,
Bobalna,9.4,6,1.9,1.5,,,1,1,,,,
Brazilor,8.7,5.9,1.6,1.2,,,0.6,0.8,,,,
Calea Poplacii,16.9,11,2.3,1.8,,,,,0.9,0.9,,
Cindrel,9.5,6.1,1.7,1.7,,,1,1.1,,,,
Crint,11.1,9.5,1,0.6,,,,,,,,
Dobarca,10.9,9.2,0.8,0.9,,,,,,,,
Fantanele,11.3,9,0.9,1.4,,,,,,,,
Iazului,10.8,9,0.6,1.2,,,,0.6,,,,
Ion Sion,15.3,11,2.2,2.1,,,,,,,,
Islazului,10.6,7,2.2,1.4,,,1.2,,,,,
Ludos,12.1,5.6,3,2.1,,,,,0.7,0.7,,
Theodor Mihaly,9.7,7,1.2,1.5,,,,,,,,
Orlat,10.2,6,1.9,2.3,,,1,1.6,,,,
Piata Talmaciu,9.6,5.5,1.8,2.3,,,,,,,,
Nicolae Grigorescu,9.6,6,2,1.6,,,,,,,,
Poiana,17.3,12.8,2.1,2.4,,,,,,,,
Prejbei,9.9,6.5,1.6,1.8,,,1.2,1.1,,,,
Preot Bacca,10.2,7,2.4,0.8,,,,,,,,
Rozdesti,9.8,7.3,1.4,1.1,,,,,,,,
Rozdesti 2,14.2,7.2,1.3,1.1,,,,,,,1.1,1.2
Sibiel,19.6,12.8,2,2,,,,,,,1.4,
Stefan Luchian,10,6.7,1.8,1.5,,,1.1,0.7,,,,
Timotei Cipariu,9.4,5.9,1.8,1.7,,,0.9,1,,,,
Valea Aurie,19.5,9.6,4.2,3.5,,,,,,,1.1,
