school_slug,school_name,street_name,description,source_pdf
scoala_1,Școala Gimnazială nr. 1,Șoseaua Alba Iulia,De la intersectia cu raul Cibin pana la intersectia cu str.V.Carlova,1_Sc.Gimn.Nr1_Circumscriptia1.pdf
scoala_1,Școala Gimnazială nr. 1,Strada Bârsei,,1_Sc.Gimn.Nr1_Circumscriptia1.pdf
scoala_1,Școala Gimnazială nr. 1,Strada Bihorului,,1_Sc.Gimn.Nr1_Circumscriptia1.pdf
scoala_1,Școala Gimnazială nr. 1,Strada Bucovinei,,1_Sc.Gimn.Nr1_Circumscriptia1.pdf
scoala_1,Școala Gimnazială nr. 1,Strada Cristian,dela intersectia cu str.Saliste spre str.Maramuresului,1_Sc.Gimn.Nr1_Circumscriptia1.pdf
scoala_1,Școala Gimnazială nr. 1,Strada Dimitrie Cantemir,,1_Sc.Gimn.Nr1_Circumscriptia1.pdf
scoala_1,Școala Gimnazială nr. 1,Intrarea Dimitrie Cantemir,,1_Sc.Gimn.Nr1_Circumscriptia1.pdf
scoala_1,Școala Gimnazială nr. 1,Strada Dobrogei,,1_Sc.Gimn.Nr1_Circumscriptia1.pdf
scoala_1,Școala Gimnazială nr. 1,Strada Doljului,,1_Sc.Gimn.Nr1_Circumscriptia1.pdf
scoala_1,Școala Gimnazială nr. 1,Strada Fântânii,,1_Sc.Gimn.Nr1_Circumscriptia1.pdf
scoala_1,Școala Gimnazială nr. 1,Strada General Dragalina,,1_Sc.Gimn.Nr1_Circumscriptia1.pdf
scoala_1,Școala Gimnazială nr. 1,Strada Galeș,,1_Sc.Gimn.Nr1_Circumscriptia1.pdf
scoala_1,Școala Gimnazială nr. 1,Strada Gârlei,,1_Sc.Gimn.Nr1_Circumscriptia1.pdf
scoala_1,Școala Gimnazială nr. 1,Strada Gorjului,,1_Sc.Gimn.Nr1_Circumscriptia1.pdf
scoala_1,Școala Gimnazială nr. 1,Strada Hațegului,,1_Sc.Gimn.Nr1_Circumscriptia1.pdf
scoala_1,Școala Gimnazială nr. 1,Strada Ioan Albabei,,1_Sc.Gimn.Nr1_Circumscriptia1.pdf
scoala_1,Școala Gimnazială nr. 1,Strada Iosif Velceanu,,1_Sc.Gimn.Nr1_Circumscriptia1.pdf
scoala_1,Școala Gimnazială nr. 1,Strada Litovoi Vodă,,1_Sc.Gimn.Nr1_Circumscriptia1.pdf
scoala_1,Școala Gimnazială nr. 1,Strada Maramureșului,,1_Sc.Gimn.Nr1_Circumscriptia1.pdf
scoala_1,Școala Gimnazială nr. 1,Strada Moldovei,,1_Sc.Gimn.Nr1_Circumscriptia1.pdf
scoala_1,Școala Gimnazială nr. 1,Strada Munteniei,,1_Sc.Gimn.Nr1_Circumscriptia1.pdf
scoala_1,Școala Gimnazială nr. 1,Strada Nicolae Beldiceanu,,1_Sc.Gimn.Nr1_Circumscriptia1.pdf
scoala_1,Școala Gimnazială nr. 1,Strada Nicolae Copernic,,1_Sc.Gimn.Nr1_Circumscriptia1.pdf
scoala_1,Școala Gimnazială nr. 1,Strada Oașului,,1_Sc.Gimn.Nr1_Circumscriptia1.pdf
scoala_1,Școala Gimnazială nr. 1,Strada Olteniei,,1_Sc.Gimn.Nr1_Circumscriptia1.pdf
scoala_1,Școala Gimnazială nr. 1,Strada Poet Aron Cotruș,,1_Sc.Gimn.Nr1_Circumscriptia1.pdf
scoala_1,Școala Gimnazială nr. 1,Strada Poet Vasile Cârlova,de la str.Maramuresului panalaintersectia cu str.Transilvaniei,1_Sc.Gimn.Nr1_Circumscriptia1.pdf
scoala_1,Școala Gimnazială nr. 1,Strada Profesor Aurel Decei,,1_Sc.Gimn.Nr1_Circumscriptia1.pdf
scoala_1,Școala Gimnazială nr. 1,Strada Profesor Aurel Popa,,1_Sc.Gimn.Nr1_Circumscriptia1.pdf
scoala_1,Școala Gimnazială nr. 1,Strada Profesor Cornel Irimie,,1_Sc.Gimn.Nr1_Circumscriptia1.pdf
scoala_1,Școala Gimnazială nr. 1,Strada Profesor Ioan Moga,,1_Sc.Gimn.Nr1_Circumscriptia1.pdf
scoala_1,Școala Gimnazială nr. 1,Strada Săcel,Panala intersectiacustr.Talmacel,1_Sc.Gimn.Nr1_Circumscriptia1.pdf
scoala_1,Școala Gimnazială nr. 1,Strada Sălajului,,1_Sc.Gimn.Nr1_Circumscriptia1.pdf
scoala_1,Școala Gimnazială nr. 1,Strada Săliște,,1_Sc.Gimn.Nr1_Circumscriptia1.pdf
scoala_1,Școala Gimnazială nr. 1,Pasajul Spitalului,,1_Sc.Gimn.Nr1_Circumscriptia1.pdf
scoala_1,Școala Gimnazială nr. 1,Strada Ștrandului,,1_Sc.Gimn.Nr1_Circumscriptia1.pdf
scoala_1,Școala Gimnazială nr. 1,Strada Tălmăcel,,1_Sc.Gimn.Nr1_Circumscriptia1.pdf
scoala_1,Școala Gimnazială nr. 1,Strada Theodor Neculuță,,1_Sc.Gimn.Nr1_Circumscriptia1.pdf
scoala_1,Școala Gimnazială nr. 1,Strada Transilvaniei,De la str.Garleipana laintersectia cuB-dul Victoriei(partea dreaptä),1_Sc.Gimn.Nr1_Circumscriptia1.pdf
scoala_1,Școala Gimnazială nr. 1,Bulevardul Victoriei,De laPasajul Spitaluluipana la str.Gh.Soima,1_Sc.Gimn.Nr1_Circumscriptia1.pdf
scoala_1,Școala Gimnazială nr. 1,Strada Vrancei,,1_Sc.Gimn.Nr1_Circumscriptia1.pdf
scoala_2,Școala Gimnazială nr. 2,Strada 9 Mai,,2_ScGimn.Nr.2_Circumscriptia2.pdf
scoala_2,Școala Gimnazială nr. 2,Strada Abatorului,,2_ScGimn.Nr.2_Circumscriptia2.pdf
scoala_2,Școala Gimnazială nr. 2,Strada Argintarilor,,2_ScGimn.Nr.2_Circumscriptia2.pdf
scoala_2,Școala Gimnazială nr. 2,Piața Aurarilor,,2_ScGimn.Nr.2_Circumscriptia2.pdf
scoala_2,Școala Gimnazială nr. 2,Strada Avram Iancu,,2_ScGimn.Nr.2_Circumscriptia2.pdf
scoala_2,Școala Gimnazială nr. 2,Strada Azilului,,2_ScGimn.Nr.2_Circumscriptia2.pdf
scoala_2,Școala Gimnazială nr. 2,Strada Bărbierilor,,2_ScGimn.Nr.2_Circumscriptia2.pdf
scoala_2,Școala Gimnazială nr. 2,Strada Brutarilor,,2_ScGimn.Nr.2_Circumscriptia2.pdf
scoala_2,Școala Gimnazială nr. 2,Strada Cibinului,,2_ScGimn.Nr.2_Circumscriptia2.pdf
scoala_2,Școala Gimnazială nr. 2,Strada Constituției,,2_ScGimn.Nr.2_Circumscriptia2.pdf
scoala_2,Școala Gimnazială nr. 2,Strada Hurmuzache,,2_ScGimn.Nr.2_Circumscriptia2.pdf
scoala_2,Școala Gimnazială nr. 2,Strada Faurului,,2_ScGimn.Nr.2_Circumscriptia2.pdf
scoala_2,Școala Gimnazială nr. 2,Strada Felinarului,,2_ScGimn.Nr.2_Circumscriptia2.pdf
scoala_2,Școala Gimnazială nr. 2,Strada Filarmonicii,,2_ScGimn.Nr.2_Circumscriptia2.pdf
scoala_2,Școala Gimnazială nr. 2,Strada Funarilor,,2_ScGimn.Nr.2_Circumscriptia2.pdf
scoala_2,Școala Gimnazială nr. 2,Strada General Magheru,,2_ScGimn.Nr.2_Circumscriptia2.pdf
scoala_2,Școala Gimnazială nr. 2,Strada Gheorghe Lazăr,,2_ScGimn.Nr.2_Circumscriptia2.pdf
scoala_2,Școala Gimnazială nr. 2,Piața Albert Huet,,2_ScGimn.Nr.2_Circumscriptia2.pdf
scoala_2,Școala Gimnazială nr. 2,Strada Liviu Rebreanu,,2_ScGimn.Nr.2_Circumscriptia2.pdf
scoala_2,Școala Gimnazială nr. 2,Strada Manejului,,2_ScGimn.Nr.2_Circumscriptia2.pdf
scoala_2,Școala Gimnazială nr. 2,Piața Mare,,2_ScGimn.Nr.2_Circumscriptia2.pdf
scoala_2,Școala Gimnazială nr. 2,Piața Mică,,2_ScGimn.Nr.2_Circumscriptia2.pdf
scoala_2,Școala Gimnazială nr. 2,Strada Moș Ion Roată,,2_ScGimn.Nr.2_Circumscriptia2.pdf
scoala_2,Școala Gimnazială nr. 2,Strada Movilei,,2_ScGimn.Nr.2_Circumscriptia2.pdf
scoala_2,Școala Gimnazială nr. 2,Strada Nicolae Teclu,,2_ScGimn.Nr.2_Circumscriptia2.pdf
scoala_2,Școala Gimnazială nr. 2,Strada Nouă,,2_ScGimn.Nr.2_Circumscriptia2.pdf
scoala_2,Școala Gimnazială nr. 2,Strada Ocnei,,2_ScGimn.Nr.2_Circumscriptia2.pdf
scoala_2,Școala Gimnazială nr. 2,Strada Olarilor,,2_ScGimn.Nr.2_Circumscriptia2.pdf
scoala_2,Școala Gimnazială nr. 2,Strada Pielarilor,,2_ScGimn.Nr.2_Circumscriptia2.pdf
scoala_2,Școala Gimnazială nr. 2,Strada Pietrarilor,,2_ScGimn.Nr.2_Circumscriptia2.pdf
scoala_2,Școala Gimnazială nr. 2,Strada Plopilor,,2_ScGimn.Nr.2_Circumscriptia2.pdf
scoala_2,Școala Gimnazială nr. 2,Strada Pulberăriei,,2_ScGimn.Nr.2_Circumscriptia2.pdf
scoala_2,Școala Gimnazială nr. 2,Strada N.R. Korsakov,,2_ScGimn.Nr.2_Circumscriptia2.pdf
scoala_2,Școala Gimnazială nr. 2,Strada Rotarilor,,2_ScGimn.Nr.2_Circumscriptia2.pdf
