"Numele străzii","Lungimea str. (m)","Lungime parcări pe trotuare ","Lungime piste de bicicletă","Lungimea trotuarului(m)","Lățime tramă stradală (m)","Lățimea carosabilului (m)","grad ocupare stradă %","grad ocupare tortuar %","Lățimea tortuar 1","Lățimea tortuar 2","Lațimea parcare 1","Lațimea parcare 2","Gradul de ocupare tortuar 1 (%)","Gradul de ocupare tortuar 2 (%)","zona libera trotuar 1","zona libera trotuar 2","Lățime pista biciclete 1","Lățime pista biciclete 2","Zona verde 1","Zona verde 2","","","","","","","","","","","","","","","","","",""
"Aleea Calaretilor","580","","580","580","9","7","81%","19%","1.7","","","2.4","0%","","","0.7","2.2","","","","","","","","","","","","","","","","","","","","",""
"Alexandru Vlahuta","290","","","580","13","9","70%","30%","1.8","2.1","","","0%","0%","","","","","","","","","","","","","","","","","","","","","","","",""
"Anghel Dimitrie","200","","","400","10","7","68%","32%","1.7","1.55","","","0%","0%","","","","","","","","","","","","","","","","","","","","","","","",""
"Anghel Saligny","200","","","400","10","6","60%","40%","2","1.9","","","0%","0%","1","0.8","","","","","","","","","","","","","","","","","","","","","",""
"Anton Pann","270","","","540","10","6","59%","41%","2.2","2","","","0%","0%","","","","","","","","","","","","","","","","","","","","","","","",""
"Argesului","250","","","500","14","9","63%","37%","2.7","2.6","","","0%","0%","","","","","","","","","","","","","","","","","","","","","","","",""
"Aron Pumnul","377","","","754","10","6","60%","40%","2.1","2","","","0%","0%","","","","","","","","","","","","","","","","","","","","","","","",""
"Aurel Vlaicu","193","","","386","10","5","50%","50%","2.6","2.4","","","0%","0%","1.2","1.4","","","","","","","","","","","","","","","","","","","","","",""
"Bahluiului","300","400","","600","10","7","72%","28%","1.3","1.5","1.8","5.4","138%","360%","","","","","1.8","5.4","","","","","","","","","","","","","","","","","",""
"Calea Dumbravii","1,700","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ciprian Porumbescu","350","","","700","11","7","64%","36%","1.6","2.4","","","0%","0%","0.9","0.9","","","2.8","","","","","","","","","","","","","","","","","","",""
"Closca","150","","","300","10","7","65%","35%","1.6","1.9","","","0%","0%","0.5","1","","","","","","","","","","","","","","","","","","","","","",""
"Costache Negri","265","","","530","10","6","63%","37%","1.6","1.9","","","0%","0%","","","","","","","","","","","","","","","","","","","","","","","",""
"Dimitri Cocea","150","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dinicu Golescu","200","","","400","9","6","65%","35%","1.6","1.7","","","0%","0%","","","","","","","","","","","","","","","","","","","","","","","",""
"Doctor Barcianu","110","","","220","15","9","60%","40%","3","3.1","","","0%","0%","1.4","1","","","1.6","1.5","","","","","","","","","","","","","","","","","",""
"General Traian Mosoiu","160","","","320","8","5","67%","33%","1.1","1.4","","","0%","0%","0.2","0.2","","","","","","","","","","","","","","","","","","","","","",""
"George Bacovia","320","","","640","8","6","69%","31%","1.2","1.4","","","0%","0%","","","","","","","","","","","","","","","","","","","","","","","",""
"Gheorghe Dima","425","","","850","14","7","52%","48%","3.5","3","","2.5","0%","83%","1.1","","","","","","","","","","","","","","","","","","","","","","",""
"Grigore Alexandrescu","217","","","434","10","6","58%","42%","1.8","2.3","","","0%","0%","0.6","1.1","","","","","","","","","","","","","","","","","","","","","",""
"Grigore Ureche","120","","","240","9","6","65%","35%","1.5","1.8","","","0%","0%","1","0.8","","","","","","","","","","","","","","","","","","","","","",""
"Horia","195","","","390","10","6","62%","38%","2","1.8","","","0%","0%","1","1","","","","","","","","","","","","","","","","","","","","","",""
"Ilarie Chendi","188","","","376","10","6","63%","37%","1.6","2","","","0%","0%","0.9","1.3","","","","","","","","","","","","","","","","","","","","","",""
"Ioan Catina","128","","","256","7","5","65%","35%","1.5","1","","","0%","0%","0.5","0.5","","","","","","","","","","","","","","","","","","","","","",""
"Ioan Slavici","230","","","460","9","6","63%","37%","1.6","1.6","","","0%","0%","0.8","0.9","","","","","","","","","","","","","","","","","","","","","",""
"Johan Wolfgang Goethe","270","","","540","9","6","70%","30%","1.2","1.4","","","0%","0%","","","","","","","","","","","","","","","","","","","","","","","",""
"Lamaitei","174","","","348","10","6","64%","36%","1.8","1.8","","","0%","0%","1.8","0.7","","","","","","","","","","","","","","","","","","","","","",""
"Marius Sturza","170","","","340","8","5","66%","34%","1","1.6","","","0%","0%","0.5","0.5","","","","","","","","","","","","","","","","","","","","","",""
"Matei Millo","323","","","646","12","9","74%","26%","1.6","1.6","","","0%","0%","","","","","1.3","1.5","","","","","","","","","","","","","","","","","",""
"MIhail Sebastian","370","","","740","11","7","64%","36%","2.1","1.8","","","0%","0%","","","","","1.9","2.2","","","","","","","","","","","","","","","","","",""
"Miron Costin","240","","","480","10","6","57%","43%","2.1","2.2","","","0%","0%","1.1","1.2","","","","","","","","","","","","","","","","","","","","","",""
"Nicolae Filimon","115","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Octavian Goga 1","675","475","","1,350","11","7","69%","31%","1.5","1.8","0.7","","47%","0%","","","","","","","","","","","","","","","","","","","","","","","",""
"Octavian Goga 2","180","","","360","13","9","68%","32%","2.2","1.9","","","0%","0%","","","","","","","","","","","","","","","","","","","","","","","",""
"Octavian Goga 3","250","","","500","11","7","65%","35%","2.1","1.7","","0.5","0%","29%","","","","","","","","","","","","","","","","","","","","","","","",""
"Panait Cerna","280","","","560","10","7","68%","32%","1.5","1.8","4.8","","320%","0%","","","","","4","","","","","","","","","","","","","","","","","","",""
"Piata Crisan","102","","","204","10","6","62%","38%","1.6","2.2","","","0%","0%","","","","","","","","","","","","","","","","","","","","","","","",""
"Piata Prahovei 1","210","","","420","7","4","60%","40%","1.2","1.4","","2.1","0%","150%","","","","","","","","","","","","","","","","","","","","","","","",""
"Piata Prahovei 2","210","","","420","7","4","60%","40%","1.4","1.3","2.5","1.4","179%","108%","","","","","1.4","","","","","","","","","","","","","","","","","","",""
"Privighetorii","280","","","560","9","7","78%","22%","1.9","","","","0%","","","","","","","","","","","","","","","","","","","","","","","","",""
"Profesor Victor Lazar","200","","","400","13","7","49%","51%","3","3.7","2.5","","83%","0%","","1.7","","","","","","","","","","","","","","","","","","","","","",""
"Putnei","400","","","800","10","7","69%","31%","1.5","1.6","2.5","","167%","0%","0.6","0.6","","","","","","","","","","","","","","","","","","","","","",""
"Titu Maiorescu","170","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Vasile Alexandri 1","190","","","380","9","6","69%","31%","1.3","1.4","","","0%","0%","","","","","","","","","","","","","","","","","","","","","","","",""
"Vasile Alexandri 2","200","","","400","9","6","64%","36%","1.8","1.3","","","0%","0%","0.8","0.7","","","","","","","","","","","","","","","","","","","","","",""
"Calea Dumbravii de la Cimitir pana sensul giratoriu cu V. Milea","","","","","","","64%","36%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
