"Numele străzii","Lungimea str. (m)","Lungime parcări pe trotuare ","Lungime piste de bicicletă","Lungimea trotuarului(m)","Lățime tramă stradală (m)","Lățimea carosabilului (m)","grad ocupare stradă %","grad ocupare tortuar %","Lățimea tortuar 1","Lățimea tortuar 2","Lațimea parcare 1","Lațimea parcare 2","Gradul de ocupare tortuar 1 (%)","Gradul de ocupare tortuar 2 (%)","zona libera trotuar 1","zona libera trotuar 2","Lățime pista biciclete 1","Lățime pista biciclete 2","Zona verde 1","Zona verde 2","Zona verde 
intre bezile
de cilculatie","","","","","","","","","","","","","","","","",""
"Aleea Artiileristilor","205.00","-----","-----","410.00","9.65","5.60","58%","42%","2.1","1.95","","","-----","-----","-----","5.1","-----","-----","","2.5","-----","","","","","","","","","","","","","","","","",""
"Aleea Calarasilor","160.00","-----","-----","320.00","8.00","4.50","56%","44%","1.55","1.95","","","-----","-----","-----","-----","-----","-----","","10","-----","","","","","","","","","","","","","","","","",""
"Aleea Infanteristilor","276.00","-----","-----","552.00","8.00","4.10","51%","49%","1.95","1.95","5.2","5.1","","","-----","-----","-----","-----","4.9","4.9","-----","","","","","","","","","","","","","","","","",""
"Aleea Luptei","152.00","-----","-----","304.00","11.00","6.15","56%","44%","2.9","1.95","5","4.8","","","-----","-----","-----","-----","6.2","7","-----","","","","","","","","","","","","","","","","",""
"Aleea Rosiorilor","190.00","-----","-----","380.00","7.50","4.30","57%","43%","1.7","1.5","2","5","","","-----","-----","-----","-----","","","-----","","","","","","","","","","","","","","","","",""
"Aleea Selimbar","460.00","-----","-----","920.00","7.00","5.80","83%","17%","","1.2","4.8","5","","","-----","-----","-----","-----","10","10","-----","","","","","","","","","","","","","","","","",""
"Cernei","160.00","-----","-----","320.00","9.97","6.00","60%","40%","2","1.97","","","","","-----","-----","-----","-----","","","-----","","","","","","","","","","","","","","","","",""
"Genistilor","230.00","-----","-----","460.00","9.10","6.00","66%","34%","1.55","1.55","","","","","-----","-----","-----","-----","4.3","6.1","-----","","","","","","","","","","","","","","","","",""
"Luptei","500.00","-----","-----","1,000.00","12.75","6.15","48%","52%","3","3.6","","5","","","-----","-----","-----","-----","","","-----","","","","","","","","","","","","","","","","",""
"Mihai Viteazu","286.00","-----","572.00","572.00","13.50","10.00","74%","26%","1.5","2","5.2","5","","","-----","-----","0.9","1","3.3","8","5.2","","","","","","","","","","","","","","","","",""
"Nicolae Iorga","743.00","-----","1,486.00","1,486.00","12.60","7.50","60%","40%","2.5","2.6","2.6","4","","","-----","-----","1","1","10","10","-----","","","","","","","","","","","","","","","","",""
"Porumbacului","135.00","-----","-----","270.00","10.25","5.50","54%","46%","2.65","2.1","","","","","-----","-----","-----","-----","","","-----","","","","","","","","","","","","","","","","",""
"Rahovei 1","790.00","-----","1,580.00","1,580.00","13.40","9.00","67%","33%","2.5","1.9","2.1","5.2","","","-----","-----","1","1","1.6","","-----","","","","","","","","","","","","","","","","",""
"Rahovei 2 (intre blocuri)","280.00","-----","-----","560.00","13.95","6.15","44%","56%","2.9","4.9","2.55","","","","-----","-----","-----","-----","8","6","-----","","","","","","","","","","","","","","","","",""
