"Numele străzii","Lungimea str. (m)","Lungime parcări pe trotuare ","Lungime piste de bicicletă","Lungimea trotuarului(m)","Lățime tramă stradală (m)","Lățimea carosabilului (m)","grad ocupare stradă %","grad ocupare tortuar %","Lățimea tortuar 1","Lățimea tortuar 2","Lațimea parcare 1","Lațimea parcare 2","Gradul de ocupare tortuar 1 (%)","Gradul de ocupare tortuar 2 (%)","zona libera trotuar 1","zona libera trotuar 2","Lățime pista biciclete 1","Lățime pista biciclete 2","Zona verde 1","Zona verde 2","","","","","","","","","","","","","","","","","",""
"Aleea Biruintei","","","","","","9.10","","","1.80","","","","","","0.80","","","","","","","","","","","","","","","","","","","","","","",""
"Aleea Haiducului","","","","","","8.40","","","1.40","1.40","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aleea Turnu Rosu","","","","","","6.60","","","1.40","1.40","","","","","0.50","","","","1.00","","","","","","","","","","","","","","","","","","",""
"Alexandru Ioan Cuza","","","","","","5.80","","","2.00","1.60","","","","","1.00","0.70","","","","","","","","","","","","","","","","","","","","","",""
"Andrei Muresanu","","","","","","5.60","","","2.70","2.40","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Calea Dumbravii I","","","","","","11.60","","","1.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Calea Dumbravii II","","","","","","7.10","","","1.40","1.20","","","","","","","","","1.20","1.00","","","","","","","","","","","","","","","","","",""
"Calugareni","","","","","","5.80","","","2.00","2.20","","","","","1.20","1.00","","","","","","","","","","","","","","","","","","","","","",""
"Castelului","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cernei","","","","","","6.10","","","1.80","1.80","","","","","1.00","1.00","","","","","","","","","","","","","","","","","","","","","",""
"Culturii","","","","","","9.00","","","1.30","1.40","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dorului","","","","","","6.20","","","1.30","1.40","0.50","0.50","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eroilor","","","","","","5.60","","","2.10","1.80","","","","","1.00","1.00","","","","","","","","","","","","","","","","","","","","","",""
"Goraslau","","","","","","12.00","","","2.00","1.50","","","","","","0.50","","","","1.70","","","","","","","","","","","","","","","","","",""
"Hipodromului","","","","","","16.50","","","1.40","1.70","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Iernii","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mercur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Miraslau I","","","","","","5.60","","","2.40","1.70","","","","","1.00","1.00","","","","","","","","","","","","","","","","","","","","","",""
"Miraslau II","","","","","","12.00","","","1.30","1.80","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Neptun","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Oituz I","","","","","","6.00","","","1.30","1.60","","","","","","","1.00","","","","","","","","","","","","","","","","","","","","",""
"Oituz II","","","","","","11.70","","","2.10","2.20","","","","","","","0.80","0.80","4.70","","","","","","","","","","","","","","","","","","",""
"Terra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Uranus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Venus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
