"Numele străzii","Lungimea str. (m)","Lungime parcări pe trotuare ","Lungime piste de bicicletă","Lungimea trotuarului(m)","Lățime tramă stradală (m)","Lățimea carosabilului (m)","grad ocupare stradă %","grad ocupare tortuar %","Lățimea tortuar 1","Lățimea tortuar 2","Lațimea parcare 1","Lațimea parcare 2","Gradul de ocupare tortuar 1 (%)","Gradul de ocupare tortuar 2 (%)","zona libera trotuar 1","zona libera trotuar 2","Lățime pista biciclete 1","Lățime pista biciclete 2","Zona verde 1","Zona verde 2","","","","","","","","","","","","","","","","","",""
"Adjudului","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aleea Buia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aleea Fratii Buzesti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aleea Libelulei","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aleea Sevis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aleea Steaza","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aleea Streiu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aleea Taberei","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Calea Cisnadiei","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Copacului","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Furnicilor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Libelulei","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nicolae Iorga","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Oituz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Omizii","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ostirii","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Plugarilor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Puscasului","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rahovei","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rahovei","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tintasului","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Viespei","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Zizinului","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
