"Numele străzii","Lungimea str. (m)","Lungime parcări pe trotuare ","Lungime piste de bicicletă","Lungimea trotuarului(m)","Lățime tramă stradală (m)","Lățimea carosabilului (m)","grad ocupare stradă %","grad ocupare tortuar %","Lățimea tortuar 1","Lățimea tortuar 2","Lațimea parcare 1","Lațimea parcare 2","Gradul de ocupare tortuar 1 (%)","Gradul de ocupare tortuar 2 (%)","zona libera trotuar 1","zona libera trotuar 2","Lățime pista biciclete 1","Lățime pista biciclete 2","Zona verde 1","Zona verde 2","","","","",""
"Abrud","282","","","507.6","11.80","7.1","60.17%","39.83%","2","2.7","","","0.00%","0.00%","1.1","1.2","","","","","","","","",""
"Albert Einstein","59","","","106.2","0.00","","","","","","","","","","","","","","","","","","","",""
"Albinelor","67","","","120.6","0.00","","","","","","","","","","","","","","","","","","","",""
"Alecu Russo","333","","","599.4","13.60","5.6","41.18%","58.82%","2","2.4","","","0.00%","0.00%","1","0.9","","","0.9","0.9","","","","",""
"Ana Ipatescu","900","","","1620","10.40","6","57.69%","42.31%","2.6","1.8","","","0.00%","0.00%","1.5","1.15","","","","","","","","",""
"Anatole France","295","","","531","11.80","6","50.85%","49.15%","1.5","2.1","","","0.00%","0.00%","0.7","0.7","","","0.5","0.6","","","","",""
"Anul 1907","828","","","1490.4","6.25","4.5","72.00%","28.00%","0.75","1","","","0.00%","0.00%","","","","","","","","","","",""
"Arcului","205","","","369","10.45","5.4","51.67%","48.33%","1.2","1.75","2.1","","175.00%","0.00%","","","","","","","","","","",""
"Auguste Treboniu Laurian","408","","","734.4","17.50","8.7","49.71%","50.29%","2.1","2.3","","","0.00%","0.00%","","","","","1","1.2","","","","",""
"Baicoi","334","","","601.2","8.60","5.6","65.12%","34.88%","1.4","1.6","","","0.00%","0.00%","0.5","0.3","","","","","","","","",""
"Balantei","300","","","540","7.80","5","64.10%","35.90%","1.5","1.3","","","0.00%","0.00%","0.7","","","","","","","","","",""
"Calea Gusteritei","1220","","","2196","19.70","10.8","54.82%","45.18%","1.85","2.7","2.35","","127.03%","0.00%","","1","1","1","","","","","","",""
"Cezar Boliac","323","","","581.4","12.40","6.2","50.00%","50.00%","2.4","2","","","0.00%","0.00%","1.1","1.2","","","0.9","","","","","",""
"Ciocanului","72","","","129.6","0.00","","","","","","","","","","","","","","","","","","","",""
"Cometei","77","","","138.6","0.00","","","","","","","","","","","","","","","","","","","",""
"Corneliu Diaconovici","330","","","594","9.70","6.1","62.89%","37.11%","1.8","1.8","","","0.00%","0.00%","0.8","0.5","","","","","","","","",""
"Cosmos","117","","","210.6","0.00","","","","","","","","","","","","","","","","","","","",""
"Cupolei","38","","","68.4","0.00","","","","","","","","","","","","","","","","","","","",""
"Dinamului","55","","","99","0.00","","","","","","","","","","","","","","","","","","","",""
"Dorobantilor","787","","","1416.6","8.60","5","58.14%","41.86%","1.6","2","","","0.00%","0.00%","","1.4","","","","","","","","",""
"Ecaterina Varga","689","","","1240.2","9.70","6","61.86%","38.14%","2","1.7","","","0.00%","0.00%","1","0.6","","","","","","","","",""
"Egalitatii","80","","","144","9.90","6.1","61.62%","38.38%","2.3","1.5","","","0.00%","0.00%","1.3","0.6","","","","","","","","",""
"Emile Zola","322","","","579.6","10.20","6","58.82%","41.18%","2","2.2","","","0.00%","0.00%","1","1","","","","","","","","",""
"Forjorilor","282","","","507.6","9.80","6.5","66.33%","33.67%","1.7","1.6","","","0.00%","0.00%","0","0.4","","","","","","","","",""
"Frezorilor","540","","","972","16.90","7","41.42%","58.58%","0.8","2.1","","","0.00%","0.00%","","","","","1.1","2.4","","","","",""
"Galaxiei","140","","","252","0.00","","","","","","","","","","","","","","","","","","","",""
"Garii","438","","","788.4","17.20","6.1","35.47%","64.53%","3.3","0","","","0.00%","","1.1","","","","","3.9","","","","",""
"Heinrich Heine","191","","","343.8","10.00","6.1","61.00%","39.00%","2.2","1.7","","","0.00%","0.00%","1","0.6","","","","","","","","",""
"Henri Coanda","1140",""," ","2052","22.30","7.2","32.29%","67.71%","3.2","0","9.3","","290.63%","","1.5","","","","1.3","","","","","",""
"Icob Bologa ","149","","","268.2","24.20","7","28.93%","71.07%","1.1","1.2","2.3","4.8","209.09%","400.00%","","","","","1.5","2.4","","","","",""
"Ivan Sergheievici Turghenev","124","","","223.2","9.60","5.9","61.46%","38.54%","1.9","1.8","","","0.00%","0.00%","0.9","0.6","","","","","","","","",""
"Johan Sebastian Bach","","","","0","","","","","","","","","","","","","","","","","","","","",""
"Lacatusilor","74","","","133.2","2.90","2.9","","","","","","","","","","","","","","","","","","",""
"Lamark","95","","","171","9.40","6","63.83%","36.17%","1.9","1.5","","","0.00%","0.00%","0.9","0.9","","","","","","","","",""
"Laminorului","220","","","396","9.60","6.5","67.71%","32.29%","1.4","1.7","","","0.00%","0.00%","0.5","1.2","","","","","","","","",""
"Lazaret","266","","","478.8","16.60","7.5","45.18%","54.82%","2.2","2.1","","3","0.00%","142.86%","","","","","0.9","","","","","",""
"Lebedei 1","111","","","199.8","5.40","3","55.56%","44.44%","1.2","1.2","","","0.00%","0.00%","0.2","","","","","","","","","",""
"Lebedei 2","211","","","379.8","","6","","","1.9","1.7","","","","","0.6","1","","","","","","","","",""
"Libertatii","180","","","324","5.20","3","","","1.1","1.1","","","","","","","","","","","","","","",""
"Luceafarului","574","","","1033.2","3.90","1.9","48.72%","51.28%","2","","","","0.00%","","0.8","1.6","","","","","","","","",""
"Macaralei","288","","","518.4","11.00","6.6","60.00%","40.00%","1.9","1.5","","","0.00%","0.00%","","","1","","","","","","","",""
"Masinistilor","755","","","1359","14.50","6","41.38%","58.62%","1.6","1.9","","","0.00%","0.00%","0","1.1","","","1.5","1","","","","",""
"Muncii","177","","","318.6","8.30","5.1","61.45%","38.55%","1.6","1.6","","","0.00%","0.00%","0.7","","","","","","","","","",""
"Nicovalei","440","","","792","9.80","5.5","56.12%","43.88%","2.2","2.1","","","0.00%","0.00%","1.2","","","","","","","","","",""
"Otelarilor","952","","","1713.6","15.60","6.9","44.23%","55.77%","1.6","1.4","2.1","","131.25%","0.00%","","","","","1.8","","","","","",""
"Ovidiu","172","","","309.6","8.70","3.6","41.38%","58.62%","0.9","2.2","","","0.00%","0.00%","","","","","","1","","","","",""
"Petru Poni","232","","","417.6","9.80","6.1","","","2","1.7","","","","","0.9","0.9","","","","","","","","",""
"Plevnei","404","","","727.2","9.40","5.6","59.57%","40.43%","1.8","2","","","0.00%","0.00%","1.1","0.8","","","","","","","","",""
"Primaverii","180","","","324","3.00","3","","","","","","","","","","","","","","","","","","",""
"Principatele Unite","403","","","725.4","15.40","6.4","41.56%","58.44%","2.1","1.9","2.5","2.5","119.05%","131.58%","","","","","","","","","","",""
"Prometeu","70","","","126","0.00","","","","","","","","","","","","","","","","","","","",""
"Rachetei","144","","","259.2","0.00","","","","","","","","","","","","","","","","","","","",""
"Rulmentului","111","","","199.8","17.40","6.1","35.06%","64.94%","2","2","","2.5","0.00%","125.00%","","","","","2.4","","","","","",""
"Serpuita","547","","","984.6","8.60","5.9","68.60%","31.40%","1.5","1.2","","","0.00%","0.00%","","","","","","","","","","",""
"Solidaritatii","200","","","360","13.00","7","53.85%","46.15%","3.1","1.4","","","0.00%","0.00%","","","","","0.75","","","","","",""
"Stelei","94","","","169.2","0.00","","","","","","","","","","","","","","","","","","","",""
