"Numele străzii","Lungimea str. (m)","Lungime parcări pe trotuare ","Lungime piste de bicicletă","Lungimea trotuarului(m)","Lățime tramă stradală (m)","Lățimea carosabilului (m)","grad ocupare stradă %","grad ocupare tortuar %","Lățimea tortuar 1","Lățimea tortuar 2","Lațimea parcare 1","Lațimea parcare 2","Gradul de ocupare tortuar 1 (%)","Gradul de ocupare tortuar 2 (%)","zona libera trotuar 1","zona libera trotuar 2","Lățime pista biciclete 1","Lățime pista biciclete 2","Zona verde 1","Zona verde 2","","","","","","","","","","","","","","","","","",""
"Anina","200","","","200","9.8","6.10","62%","38%","2","1.7","","","0%","0%","0.8","","","","","","","","","","","","","","","","","","","","","","",""
"Armoniei","135","","","135","7.9","5.40","68%","32%","1.3","1.2","","","0%","0%","","","","","","","","","","","","","","","","","","","","","","","",""
"August Traboniu Laurian","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Calan","220","","","220","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ciocarliei","165","","","165","11.2","6.10","54%","46%","2.6","2.5","","","0%","0%","1.1","1.6","","","","","","","","","","","","","","","","","","","","","",""
"Crinilor","240","","","240","7.8","5.20","67%","33%","1.3","1.3","","","0%","0%","","","","","","","","","","","","","","","","","","","","","","","",""
"Crisului","125","","","125","9.8","6.10","62%","38%","2.1","1.6","","","0%","0%","1.1","1.5","","","","","","","","","","","","","","","","","","","","","",""
"Cugir","250","","","250","7.6","5.40","71%","29%","1.1","1.1","","","0%","0%","","","","","","","","","","","","","","","","","","","","","","","",""
"Decebal","255","","","255","9.8","7.00","71%","29%","1.2","1.6","","","0%","0%","","","","","","","","","","","","","","","","","","","","","","","",""
"Egalitatii 1","135","","","135","9.7","6.10","63%","37%","1.5","2.1","","","0%","0%","0.8","0.7","","","","","","","","","","","","","","","","","","","","","",""
"Fundatura Lupeni","74","","","74","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gheorghe Doja","220","","","220","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Heinrich Heine","170","","","170","9.2","6.00","65%","35%","1.5","1.7","","","0%","0%","0.9","0.8","","","","","","","","","","","","","","","","","","","","","",""
"Ion Popovici-Banateanu","140","","","140","9.5","6","63%","37%","2.1","1.4","","","0%","0%","","0.6","","","","","","","","","","","","","","","","","","","","","",""
"Iuliu Maniu 1","130","","","130","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lupeni","1,100","","","1,100","10.9","6.10","56%","44%","3.1","1.7","2","1.2","65%","71%","","","","","","","","","","","","","","","","","","","","","","","",""
"Moara de Scoarta","520","","","520","9.7","5.70","59%","41%","1.9","2.1","","","0%","0%","","","","","","","","","","","","","","","","","","","","","","","",""
"Moreni","150","","","150","10.1","6","59%","41%","1.9","2.2","","","0%","0%","1.2","1.1","","","","","","","","","","","","","","","","","","","","","",""
"Muresului","110","","","110","9.2","6.20","67%","33%","1.5","1.5","","","0%","0%","0.5","0.8","","","","","","","","","","","","","","","","","","","","","",""
"Octavian Smighelschi","120","","","120","7.5","5.3","71%","29%","1","1.2","","","0%","0%","","","","","","","","","","","","","","","","","","","","","","","",""
"Oltului","130","","","130","8.0","5.4","68%","33%","1.2","1.4","","","0%","0%","","","","","","","","","","","","","","","","","","","","","","","",""
"Petrila","250","","","250","10.0","6.00","60%","40%","1.9","2.1","","","0%","0%","0.8","1","","","","","","","","","","","","","","","","","","","","","",""
"Prumbeilor","128","","","128","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Randunelelor","165","","","165","9.8","6.10","62%","38%","2","1.7","","","0%","0%","1.2","0.9","","","","","","","","","","","","","","","","","","","","","",""
"Resita","790","","","790","9.8","6.20","63%","37%","2","1.6","","","0%","0%","1","1.1","","","","","","","","","","","","","","","","","","","","","",""
"Sandu Aldea","85","","","85","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Serpuita","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Teilor","670","","","670","10.9","7.00","64%","36%","1.5","1.4","","","0%","0%","","","","","0.3","0.7","","","","","","","","","","","","","","","","","",""
"Teliuc","111","","","111","5.7","3.60","63%","37%","1.2","0.9","","","0%","0%","","","","","","","","","","","","","","","","","","","","","","","",""
"Vanatorilor","98","","","98","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Viitorului 1","385","","","385","10.5","8.40","80%","20%","2.1","","","","0%","","","","","","","","","","","","","","","","","","","","","","","","",""
"Vulcan","175","","","175","12.3","8.10","66%","34%","2.1","2.1","","","0%","0%","","","","","","","","","","","","","","","","","","","","","","","",""
"Zorilor","155","","","155","7.7","5.50","71%","29%","1.2","1","","","0%","0%","0.7","0.2","","","","","","","","","","","","","","","","","","","","","",""
