"Numele străzii","Lungimea str. (m)","Lungime parcări pe trotuare ","Lungime piste de bicicletă","Lungimea trotuarului(m)","Lățime tramă stradală (m)","Lățimea carosabilului (m)","grad ocupare stradă %","grad ocupare tortuar %","Lățimea tortuar 1","Lățimea tortuar 2","Lațimea parcare 1","Lațimea parcare 2","Gradul de ocupare tortuar 1 (%)","Gradul de ocupare tortuar 2 (%)","zona libera trotuar 1","zona libera trotuar 2","Lățime pista biciclete 1","Lățime pista biciclete 2","Zona verde 1","Zona verde 2","","","","","","","","","","","","","","","","","",""
"Barsei","208.00","-----","-----","416.00","7.20","3.80","","","1.57","1.83","2.58","5.10","","","-----","-----","-----","-----","1.45","-----","","","","","","","","","","","","","","","","","",""
"Caras Severin","83.00","-----","-----","166.00","6.70","4.05","","","1.25","1.40","-----","","","","-----","-----","-----","-----","0.88","-----","","","","","","","","","","","","","","","","","",""
"Dimitrie Cantemir","849.00","-----","-----","1,698.00","13.00","7.20","","","2.30","3.50","-----","","","","1.10","1.20","-----","-----","-----","-----","","","","","","","","","","","","","","","","","",""
"Ilfovului","76.00","-----","-----","152.00","8.70","6.30","","","1.20","1.20","4.10","4.10","","","-----","-----","-----","-----","-----","-----","","","","","","","","","","","","","","","","","",""
"Intrarea Dimitrie Cantemir","88.00","-----","-----","176.00","11.60","6.80","","","2.30","2.50","-----","","","","1.00","1.10","-----","-----","-----","-----","","","","","","","","","","","","","","","","","",""
"Ioan Albabei","28.00","-----","-----","56.00","11.95","7.10","","","2.30","2.55","-----","","","","1.60","1.50","-----","-----","-----","-----","","","","","","","","","","","","","","","","","",""
"Mehedinti","85.00","-----","-----","170.00","9.65","6.10","","","1.60","1.95","","5.10","","","-----","-----","-----","-----","-----","10.00","","","","","","","","","","","","","","","","","",""
"Nicolae Beldiceanu","100.00","-----","-----","200.00","8.50","6.10","","","1.00","1.40","-----","","","","-----","-----","-----","-----","1.40","1.60","","","","","","","","","","","","","","","","","",""
"Poet Aron Cotrus","155.00","-----","-----","310.00","6.06","3.50","","","1.40","1.16","-----","","","","-----","-----","-----","-----","-----","-----","","","","","","","","","","","","","","","","","",""
"Prof. Cornel Irimie","55.00","-----","-----","110.00","9.00","6.20","","","1.40","1.40","-----","","","","-----","-----","-----","-----","-----","-----","","","","","","","","","","","","","","","","","",""
"Profesor Aurel Decei","176.00","-----","-----","352.00","8.80","6.30","","","1.30","1.20","4.80","4.80","","","-----","-----","-----","-----","1.30","-----","","","","","","","","","","","","","","","","","",""
"Profesor Aurel Popa","563.00","-----","147.00","563.00","10.00","6.30","","","1.90","1.80","4.70","3.80","","","-----","-----","2.10","-----","8.20","-----","","","","","","","","","","","","","","","","","",""
"Profesor Ioan Moga","510.00","-----","-----","1,020.00","7.70","4.20","","","1.70","1.80","3.80","4.70","","","-----","-----","-----","-----","-----","-----","","","","","","","","","","","","","","","","","",""
"Sacel","466.00","-----","-----","932.00","10.05","6.10","","","2.15","1.80","-----","","","","1.15","1.10","-----","-----","-----","-----","","","","","","","","","","","","","","","","","",""
"Telorman","186.00","-----","-----","372.00","7.10","4.10","","","1.50","1.50","5.00","2.30","","","-----","-----","-----","-----","1.70","3.50","","","","","","","","","","","","","","","","","",""
"Timisului","45.00","-----","-----","90.00","9.55","5.60","","","1.95","2.00","5.00","5.20","","","-----","-----","-----","-----","2.30","7.10","","","","","","","","","","","","","","","","","",""
