"Numele străzii Aleea Petuniei","Lungimea str. (m) ","Lungime parcări pe trotuare  ","Lungime piste de bicicletă ","Lungimea trotuarului(m) ","Lățime tramă stradală (m) ","Lățimea carosabilului (m) ","grad ocupare stradă % #DIV/0!","grad ocupare tortuar % #DIV/0!","Lățimea tortuar 1 ","Lățimea tortuar 2 ","Lațimea parcare 1 ","Lațimea parcare 2 ","Gradul de ocupare tortuar 1 (%) #DIV/0!","Gradul de ocupare tortuar 2 (%) #DIV/0!","zona libera trotuar 1 ","zona libera trotuar 2 ","Lățime pista biciclete 1 ","Lățime pista biciclete 2 ","Zona verde 1 ","Zona verde 2 ","","","","","","","","","","","","","","","","","",""
"Arad","394","","","394","","","","","2","2","","","0%","0%","0.7","0.9","","","","","","","","","","","","","","","","","","","","","",""
"Autogarii","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Berzelor","290","","","290","7.90","5.00","63%","37%","1.5","1.4","","","0%","0%","0.6","0.4","","","","","","","","","","","","","","","","","","","","","",""
"Bujorului","94","","","94","7.90","5.60","71%","29%","1.3","1","","","0%","0%","0.4","0.8","","","","","","","","","","","","","","","","","","","","","",""
"Calea Surii Mari","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Calea Turnisorului","390","","","390","13.20","5.20","39%","61%","2.3","1.9","2","","87%","0%","0.8","0.9","","","0.9","","","","","","","","","","","","","","","","","","",""
"Cameliei","258","","","258","18.20","3.50","19%","81%","2.4","2","2.5","","104%","0%","","","1.4","1.4","1","1.5","","","","","","","","","","","","","","","","","",""
"Campului","435","","","435","7.00","1.20","17%","83%","1","","","","0%","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campului 2","550","","","550","7.30","1.80","","","1.7","","","","","","","","","","1.7","1.4","","","","","","","","","","","","","","","","","",""
"Caprioarelor","400","","","400","9.30","6.40","69%","31%","1.4","1.5","","","0%","0%","0.7","","","","","","","","","","","","","","","","","","","","","","",""
"Carpatilor","358","","","358","8.70","5.60","64%","36%","1.4","1.7","","","0%","0%","0.9","0.8","","","","","","","","","","","","","","","","","","","","","",""
"Castorului","184","","","184","9.10","6.00","66%","34%","1.6","1.5","","","0%","0%","","","","","","","","","","","","","","","","","","","","","","","",""
"Cerbului","530","","","530","7.60","5.90","78%","22%","1.7","","","","0%","","","","","","","","","","","","","","","","","","","","","","","","",""
"Constantin Notara","305","","","305","15.20","4.00","26%","74%","1.4","1.4","2.5","2.5","179%","179%","","","","","0.8","0.9","","","","","","","","","","","","","","","","","",""
"Crizantemelor","174","","","174","6.90","4.60","67%","33%","1.1","1.2","","","0%","0%","","0.8","","","","","","","","","","","","","","","","","","","","","",""
"Daliei","222","","","222","12.60","6.40","51%","49%","2","1.6","","","0%","0%","","","","","1.3","","","","","","","","","","","","","","","","","","",""
"Democratiei","320","","","320","12.00","7.50","63%","38%","2.1","2.4","","","0%","0%","0.8","","","","","","","","","","","","","","","","","","","","","","",""
"Deva","392","","","392","10.00","5.50","55%","45%","2","2.5","","","0%","0%","0.8","","","","","","","","","","","","","","","","","","","","","","",""
"Distributiei","535","","","535","11.60","7.10","61%","39%","3.3","1.2","","","0%","0%","","","","","","","","","","","","","","","","","","","","","","","",""
"Drumul Ocnei","550","","","550","9.50","6.00","63%","37%","1.7","1.8","","","0%","0%","","","","","","","","","","","","","","","","","","","","","","","",""
"Dumitru Bagdazar","425","","","425","9.90","6.10","62%","38%","2","1.8","","","0%","0%","","","","","","","","","","","","","","","","","","","","","","","",""
"Ecaterina Teodoroiu","554","","","554","13.30","6.10","46%","54%","1.8","2","","","0%","0%","","","","","1","0.7","","","","","","","","","","","","","","","","","",""
"Eschile","409","","","409","8.10","5.30","65%","35%","1.1","1.7","","","0%","0%","","0.8","","","","","","","","","","","","","","","","","","","","","",""
"Florilor","321","","","321","9.50","5.70","60%","40%","1.9","1.9","","","0%","0%","1.2","0.8","","","","","","","","","","","","","","","","","","","","","",""
"Fragilor","207","","","207","10.20","6.10","60%","40%","1.7","1.4","","","0%","0%","","0.8","","","0.5","","","","","","","","","","","","","","","","","","",""
"Garoafei","116","","","116","8.70","6.00","69%","31%","1.4","1.3","","","0%","0%","0.8","0.7","","","","","","","","","","","","","","","","","","","","","",""
"General Balan","380","","","380","7.70","4.40","57%","43%","1.6","1.7","","","0%","0%","0","0","","","","","","","","","","","","","","","","","","","","","",""
"Gheorghe Sincai","338","","","338","9.70","6.00","62%","38%","1.7","2","","","0%","0%","0.5","1.3","","","","","","","","","","","","","","","","","","","","","",""
"Gladiolelor","433","","","433","30.70","9.00","29%","71%","2.3","2.3","","","0%","0%","","","1","1.1","7.5","","","","","","","","","","","","","","","","","","",""
"Gradinarilor","303","","","303","7.90","6.00","76%","24%","1","0.9","","","0%","0%","0.5","0.3","","","","","","","","","","","","","","","","","","","","","",""
"Gutuilor","380","","","380","10.20","6.10","60%","40%","1.6","1.7","","","0%","0%","","0.5","","","0.4","","","","","","","","","","","","","","","","","","",""
"Honterus","322","","","322","9.70","6.00","62%","38%","1.8","1.9","","","0%","0%","0.9","1","","","","","","","","","","","","","","","","","","","","","",""
"Infratirii","405","","","405","11.40","7.10","62%","38%","2.3","2","","","0%","0%","","","","","","","","","","","","","","","","","","","","","","","",""
"Ion Pop Reteganul","156","","","156","5.90","3.50","59%","41%","1.2","1.2","","","0%","0%","","0.3","","","","","","","","","","","","","","","","","","","","","",""
"Kiev","470","","","470","14.80","11.00","74%","26%","1.7","2.1","","","0%","0%","","","","","","","","","","","","","","","","","","","","","","","",""
"Lacramioarelor","184","","","184","6.50","4.40","68%","32%","1","1.1","","","0%","0%","","0.3","","","","","","","","","","","","","","","","","","","","","",""
"Laptariei","369","","","369","10.80","6.30","58%","42%","2.2","2.3","","","0%","0%","1.1","1.1","","","","","","","","","","","","","","","","","","","","","",""
"Lemnelor","412","","","412","10.60","6.00","57%","43%","2","2.6","","","0%","0%","0.8","1.4","","","","","","","","","","","","","","","","","","","","","",""
"Lunga","1,082","","","1,082","25.28","13.70","54%","46%","3.9","1.9","2.3","2.08","59%","109%","","","0.7","0.7","","","","","","","","","","","","","","","","","","","",""
"Magheranului","1,002","","","1,002","21.80","11.40","52%","25%","1.6","1.8","2.5","2.5","156%","139%","","","1","1","","","","","","","","","","","","","","","","","","","",""
"Margaretelor","507","","","507","10.80","6.10","56%","44%","2.8","1.9","","","0%","0%","1.7","1.5","","","","","","","","","","","","","","","","","","","","","",""
"Mihail Kogalniceanu","377","","","377","24.80","7.00","28%","72%","2.4","2.7","4.5","","188%","0%","","","","","1.9","2.2","","","","","","","","","","","","","","","","","",""
"Narciselor","125","","","125","5.50","3.00","55%","45%","1.3","1.2","","","0%","0%","","0.4","","","","","","","","","","","","","","","","","","","","","",""
"Nucului","156","","","156","11.20","7.00","63%","38%","1.5","1.7","","","0%","0%","1.2","","","","0.2","0.3","","","","","","","","","","","","","","","","","",""
"Odessa","200","","","200","10.80","6.00","56%","44%","2.4","2.4","","","0%","0%","1","1.1","","","","","","","","","","","","","","","","","","","","","",""
"Paltinis","198","","","198","7.40","5.00","68%","32%","1.1","1.3","","","0%","0%","0.8","0.8","","","","","","","","","","","","","","","","","","","","","",""
"Pandurilor","167","","","167","6.60","4.10","62%","38%","1.2","1.3","","","0%","0%","","0.4","","","","","","","","","","","","","","","","","","","","","",""
"Paris","510","","","510","20.90","9.40","45%","55%","2.3","2.4","","","0%","0%","","","","","1.6","1.8","","","","","","","","","","","","","","","","","",""
"Parului","330","","","330","9.90","6.00","61%","39%","1.7","1.7","","","0%","0%","","0.5","","","0.25","","","","","","","","","","","","","","","","","","",""
"Patriotilor","316","","","316","11.00","6.50","59%","41%","2.4","2.1","","","0%","0%","","0.9","","","","","","","","","","","","","","","","","","","","","",""
"Pedagogilor","368","","","368","13.00","8.00","62%","38%","2.4","2.6","","","0%","0%","1.5","1.5","","","","","","","","","","","","","","","","","","","","","",""
"Petru Maior","425","","","425","9.50","6.00","63%","37%","1.9","1.6","","","0%","0%","1","1.3","","","","","","","","","","","","","","","","","","","","","",""
"Popa Sapca","162","","","162","10.30","7.10","69%","31%","2.1","1.1","","","0%","0%","","","","","","","","","","","","","","","","","","","","","","","",""
"Praga","348","","","348","10.80","6.00","56%","44%","2.6","2.2","","","0%","0%","1.5","1.2","","","","","","","","","","","","","","","","","","","","","",""
"Progresului","380","","","380","10.80","6.00","56%","44%","2.6","2.2","","","0%","0%","1.5","1.4","","","","","","","","","","","","","","","","","","","","","",""
"Prunelor","109","","","109","10.40","6.00","58%","42%","1.8","1.8","","","0%","0%","0.8","0.9","","","0.4","","","","","","","","","","","","","","","","","","",""
"Raului","1,400","","","1,400","9.00","7.00","78%","22%","2","","","","0%","","","","","","","","","","","","","","","","","","","","","","","","",""
"Reconstructiei","483","","","483","16.20","10.00","62%","38%","2.7","1.3","","","0%","0%","","","1.1","1.1","","","","","","","","","","","","","","","","","","","",""
"Rusciorului","910","","","910","16.80","7.00","42%","58%","1.5","1.5","2.5","2.5","167%","167%","","","0.9","0.9","","","","","","","","","","","","","","","","","","","",""
"Salciilor","300","","","300","10.00","6.10","61%","39%","2","1.9","","","0%","0%","1.1","0.9","","","","","","","","","","","","","","","","","","","","","",""
"Simion Barnutiu","335","","","335","9.90","6.00","61%","39%","1.9","2","","","0%","0%","1.1","1.1","","","","","","","","","","","","","","","","","","","","","",""
"Sperantei","92","","","92","6.60","4.10","62%","38%","1.2","1.3","","","0%","0%","0.4","0.2","","","","","","","","","","","","","","","","","","","","","",""
"Strugurilor","392","","","392","6.00","1.20","20%","80%","1.4","","","","0%","","0.5","","","","","1.8","","","","","","","","","","","","","","","","","",""
"Targul Cailor","357","","","357","17.10","7.50","44%","56%","3.5","1.2","4.9","","140%","0%","1.8","","","","","","","","","","","","","","","","","","","","","","",""
"Tiglarilor","578","","","578","13.10","5.90","45%","55%","2.4","3","","","0%","0%","","","0.9","0.9","","","","","","","","","","","","","","","","","","","",""
"Timisoara","356","","","356","11.00","6.00","55%","45%","2.4","2.6","","","0%","0%","1.3","1.5","","","","","","","","","","","","","","","","","","","","","",""
"Traian Demetrescu","1,004","","","1,004","9.00","6.10","68%","32%","1.1","1.8","","","0%","0%","0.7","0.8","","","","","","","","","","","","","","","","","","","","","",""
"Viorelelor","249","","","249","7.70","4.60","60%","40%","1.8","1.3","","","0%","0%","0.8","0.4","","","","","","","","","","","","","","","","","","","","","",""
"Visinilor","265","","","265","10.10","6.00","59%","41%","1.7","1.8","","","0%","0%","","0.9","","","0.3","","","","","","","","","","","","","","","","","","",""
"Oborul de vite","356","","","356","18.40","13.2","72%","28%","2.5","2.7","","","0%","0%","","","","","","","","","","","","","","","","","","","","","","","",""
