"Numele străzii","Lungimea str. (m)","Lungime parcări pe trotuare ","Lungime piste de bicicletă","Lungimea trotuarului(m)","Lățime tramă stradală (m)","Lățimea carosabilului (m)","grad ocupare stradă %","grad ocupare tortuar %","Lățimea tortuar 1","Lățimea tortuar 2","Lațimea parcare 1","Lațimea parcare 2","Gradul de ocupare tortuar 1 (%)","Gradul de ocupare tortuar 2 (%)","zona libera trotuar 1","zona libera trotuar 2","Lățime pista biciclete 1","Lățime pista biciclete 2","Zona verde 1","Zona verde 2","","","","","","","","","","","","","","","","","",""
"Axente Sever*","339","","","305","8.60","5.60","65%","35%","1.40","1.60","-----","-----","-----","-----","0.60","0.80","-----","","-----","-----","","","","","","","","","","","","","","","","","",""
"Balea","600","","1,200","540","16.50","12.00","73%","27%","1.90","2.60","-----","-----","-----","-----","","","0.9","1","","","","","","","","","","","","","","","","","","","",""
"Bucegi","520","","","468","10.10","5.70","56%","44%","2.40","2.00","-----","-----","-----","-----","0.90","","","","","","","","","","","","","","","","","","","","","","",""
"Budislavu","130","","","117","5.40","3.50","65%","35%","1.90","0.00","-----","-----","-----","-----","","","-----","","-----","-----","","","","","","","","","","","","","","","","","",""
"Caltun*","426","","","383","11.90","7.20","61%","39%","2.30","2.40","-----","-----","-----","-----","1.30","1.30","","","","","","","","","","","","","","","","","","","","","",""
"Carbunelui*","231","","","208","9.70","6","62%","38%","1.90","1.80","-----","-----","-----","-----","1.00","0.90","","","","","","","","","","","","","","","","","","","","","",""
"Ceferistilor","430","","","387","11.10","6.90","62%","38%","2.10","2.10","-----","-----","-----","-----","","","","","","","","","","","","","","","","","","","","","","","",""
"Constantin Noica","343","","","309","10.60","7.20","68%","32%","1.90","1.50","-----","-----","-----","-----","","","-----","","1.60","1.4","","","","","","","","","","","","","","","","","",""
"Costache Negruzzi","161","290","","290","13.90","7.50","54%","46%","3.10","3.30","1.30","1.30","41.94%","39.39%","","","-----","","-----","-----","","","","","","","","","","","","","","","","","",""
"Depoului*","151","","","272","8.60","6.10","71%","29%","1.20","1.30","-----","-----","-----","-----","0.60","0.60","","","","","","","","","","","","","","","","","","","","","",""
"Diaconu Coresi*","193","","","347","10.30","6.20","60%","40%","1.90","2.20","-----","-----","-----","-----","0.80","1.60","","","","","","","","","","","","","","","","","","","","","",""
"Fabricii","446","","","803","0.00","","","","","","-----","-----","-----","-----","","","","","","","","","","","","","","","","","","","","","","","",""
"Fochistilor*","229","","","412","9.90","6","58%","42%","2.00","2.20","-----","-----","-----","-----","1.10","1.40","","","","","","","","","","","","","","","","","","","","","",""
"Fratii Grachi","267","","","481","13.70","8.60","63%","37%","2.60","2.50","-----","-----","-----","-----","","","-----","","-----","-----","","","","","","","","","","","","","","","","","",""
"Galileo Galilei*","280","","","504","8.10","5.60","69%","31%","1.10","1.40","-----","-----","-----","-----","0.50","0.80","","","","","","","","","","","","","","","","","","","","","",""
"George Enescu*","340","","","612","9.90","5.70","58%","42%","2.10","2.10","-----","-----","-----","-----","1.00","1.20","","","","","","","","","","","","","","","","","","","","","",""
"Gheorghe Titeica","252","","","454","9.30","5.60","60%","40%","1.80","1.90","-----","-----","-----","-----","","","","","","","","","","","","","","","","","","","","","","","",""
"Ghetariei","132","","","238","0.00","","","","","","","","-----","-----","","","","","","","","","","","","","","","","","","","","","","","",""
"Hegel","339","610","","610","13.90","9.00","65%","35%","2.30","2.60","0.80","0.80","34.78%","30.77%","","","-----","","-----","-----","","","","","","","","","","","","","","","","","",""
"Independentei","82","","","148","0.00","","","","","","-----","-----","-----","-----","","","","","","","","","","","","","","","","","","","","","","","",""
"Ion Creanga*","568","","","1,022","9.70","6.10","63%","37%","1.80","1.80","-----","-----","-----","-----","1.20","0.60","","","","","","","","","","","","","","","","","","","","","",""
"Izvorului","232","","","418","8.00","6.00","75%","25%","2.00","","-----","-----","-----","-----","","","-----","","-----","-----","","","","","","","","","","","","","","","","","",""
"James Watt*","233","","","419","9.85","6.00","61%","39%","1.85","2.00","-----","-----","-----","-----","0.90","0.90","","","","","","","","","","","","","","","","","","","","","",""
"Lirei*","124","","","223","9.70","6.00","62%","38%","2.20","1.50","-----","-----","-----","-----","1.30","0.70","","","","","","","","","","","","","","","","","","","","","",""
"Locomotivei*","232","","","418","9.50","5.70","60%","40%","1.70","2.10","-----","-----","-----","-----","0.50","0.80","","","","","","","","","","","","","","","","","","","","","",""
"Lucian Blaga","119","","","214","10.60","6.00","57%","43%","2.60","2.00","-----","-----","-----","-----","","","-----","","-----","-----","","","","","","","","","","","","","","","","","",""
"Magura*","822","","","1,480","9.60","6.00","63%","38%","1.60","2.00","-----","-----","-----","-----","0.80","0.90","","","","","","","","","","","","","","","","","","","","","",""
"Moldoveanu 1","304","300","","547","10.80","6.90","64%","36%","2.80","1.10","2.20","-----","78.57%","-----","","","","","","2.2","","","","","","","","","","","","","","","","","",""
"Moldoveanu 2","310","100","","558","12.30","6.90","56%","44%","2.60","2.80","-----","2.20","-----","78.57%","","","","","","","","","","","","","","","","","","","","","","","",""
"Negoi 1","507","1,014","","913","11.8","5.80","49%","51%","3.30","2.70","2.00","1.60","60.61%","59.26%","","","","","","","","","","","","","","","","","","","","","","","",""
"Negoi 2*","260","","","","9.4","5.10","","","2.40","1.90","-----","-----","-----","-----","1.10","0.00","","","","","","","","","","","","","","","","","","","","","",""
"Nicolae Titulescu","330","","","594","13.7","8.30","61%","39%","2.70","2.70","-----","-----","-----","-----","","","-----","","-----","-----","","","","","","","","","","","","","","","","","",""
"Podragul","343","","","617","9.90","6.10","62%","38%","1.60","2.20","-----","-----","-----","-----","","","","","","","","","","","","","","","","","","","","","","","",""
"Serbota*","518","","","932","11.80","7.00","59%","41%","2.40","2.40","-----","-----","-----","-----","1.50","1.70","","","","","","","","","","","","","","","","","","","","","",""
"Simion Mehedinti","157","","","283","0.00","0","","","","","-----","-----","-----","-----","","","","","","","","","","","","","","","","","","","","","","","",""
"Spartacus","390","","","702","13.80","8.50","62%","38%","2.70","2.60","-----","-----","-----","-----","","","","","","","","","","","","","","","","","","","","","","","",""
"Ștefan cel Mare 1","445","801","890","801","15.40","8.70","56%","44%","3.40","3.30","1.40","1.40","41.18%","42.42%","","","0.8","","-----","-----","","","","","","","","","","","","","","","","","",""
"Ștefan cel Mare 2","680","1,224","1,360","1,224","14.90","10.00","67%","33%","2.20","2.70","-----","1.30","-----","48.15%","","","1.00","","2.8","-----","","","","","","","","","","","","","","","","","",""
"Suru*","218","","","392","10.20","5.90","58%","42%","2.40","1.90","-----","-----","-----","-----","0.90","1.00","","","","","","","","","","","","","","","","","","","","","",""
"Urlea*","604","","","1,087","9.90","6.00","61%","39%","1.80","2.10","-----","-----","-----","-----","1.00","1.30","","","","","","","","","","","","","","","","","","","","","",""
"Vartopu","53","","","95","8.80","6.00","68%","32%","1.40","1.40","-----","-----","-----","-----","","","","","1.2","1.2","","","","","","","","","","","","","","","","","",""
"Victor Hugo*","157","","","283","9.40","6.00","64%","36%","1.60","1.80","-----","-----","-----","-----","1.00","0.90","","","","","","","","","","","","","","","","","","","","","",""
"","","4,339","3,450","","","","62%","38%","","","","","51.41%","49.76%","","","0.90","1.00","","","","","","","","","","","","","","","","","","","",""
