"Numele străzii","Lungimea str. (m)","Lungime parcări pe trotuare ","Lungime piste de bicicletă","Lungimea trotuarului(m)","Lățime tramă stradală (m)","Lățimea carosabilului (m)","grad ocupare stradă %","grad ocupare tortuar %","Lățimea tortuar 1","Lățimea tortuar 2","Lațimea parcare 1","Lațimea parcare 2","Gradul de ocupare tortuar 1 (%)","Gradul de ocupare tortuar 2 (%)","zona libera trotuar 1","zona libera trotuar 2","Lățime pista biciclete 1","Lățime pista biciclete 2","Zona verde 1","Zona verde 2","","","","","","","","","","","","","","","","","",""
"Aciliu","193","","","","9.8","5.8","59.18%","40.82%","1.9","2.1","","","","","1","1.3","","","","","","","","","","","","","","","","","","","","","",""
"Agarbiciu","284","","","","10.50","7.20","68.57%","31.43%","1.7","1.6","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Amnas","136","","","","9.90","6.50","65.66%","34.34%","1.6","1.8","","","","","0.6","0.6","","","","","","","","","","","","","","","","","","","","","",""
"Badea Cartan","200","","","","9.80","6.40","65.31%","34.69%","1.8","1.6","","","","","0.9","","","","","","","","","","","","","","","","","","","","","","",""
"Bobalna","212","","","","9.40","6.00","63.83%","36.17%","1.9","1.5","","","","","1","1","","","","","","","","","","","","","","","","","","","","","",""
"Brazilor","550","","","","8.70","5.90","67.82%","32.18%","1.6","1.2","","","","","0.6","0.8","","","","","","","","","","","","","","","","","","","","","",""
"Calea Poplacii","1260","","","","16.90","11.00","65.09%","34.91%","2.3","1.8","","","","","","","0.9","0.9","","","","","","","","","","","","","","","","","","","",""
"Cindrelului","122","","","","9.50","6.10","64.21%","35.79%","1.7","1.7","","","","","1","1.1","","","","","","","","","","","","","","","","","","","","","",""
"Crint","167","","","","11.10","9.50","85.59%","14.41%","1","0.6","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dobarca","276","","","","10.90","9.20","84.40%","15.60%","0.8","0.9","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fantanele Sibiel","275","","","","11.30","9.00","79.65%","20.35%","0.9","1.4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Iazului","805","","","","10.80","9.00","83.33%","16.67%","0.6","1.2","","","","","","0.6","","","","","","","","","","","","","","","","","","","","","",""
"Ion Sion","296","","","","15.30","11.00","71.90%","28.10%","2.2","2.1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Islazului","386","","","","10.6","7","66.04%","33.96%","2.2","1.4","","","","","1.2","","","","","","","","","","","","","","","","","","","","","","",""
"Ludos (V)","504","","","","12.10","5.60","46.28%","53.72%","3","2.1","","","","","","","0.7","0.7","","","","","","","","","","","","","","","","","","","",""
"Mihaly Theodor","293","","","","9.70","7.00","72.16%","27.84%","1.2","1.5","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Orlat","223","","","","10.20","6.00","58.82%","41.18%","1.9","2.3","","","","","1","1.6","","","","","","","","","","","","","","","","","","","","","",""
"Piata Talmaciu","330","","","","9.60","5.50","57.29%","42.71%","1.8","2.3","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pictor Nicolae Grigorescu","294","","","","9.60","6.00","62.50%","37.50%","2","1.6","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poiana","505","","","","17.30","12.80","73.99%","26.01%","2.1","2.4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Prejbei","431","","","","9.90","6.50","65.66%","34.34%","1.6","1.8","","","","","1.2","1.1","","","","","","","","","","","","","","","","","","","","","",""
"Preot Baca","303","","","","10.20","7.00","68.63%","31.37%","2.4","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rozdesti","129","","","","9.80","7.30","74.49%","25.51%","1.4","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rozdesti 2","128","","","","14.20","7.20","50.70%","49.30%","1.3","1.1","","","","","","","","","1.1","1.2","","","","","","","","","","","","","","","","","",""
"Sibiel","735","","","","19.60","12.80","65.31%","34.69%","2","2","","","","","","","","","1.4","","","","","","","","","","","","","","","","","","",""
"Stefan Luchian","229","","","","10.00","6.70","67.00%","33.00%","1.8","1.5","","","","","1.1","0.7","","","","","","","","","","","","","","","","","","","","","",""
"Timotei Cipariu","309","","","","9.40","5.90","62.77%","37.23%","1.8","1.7","","","","","0.9","1","","","","","","","","","","","","","","","","","","","","","",""
"Valea Aurie (V)","543","","","","19.50","9.60","49.23%","50.77%","4.2","3.5","","","","","","","","","1.1","","","","","","","","","","","","","","","","","","",""
